timestamp,time_s,line_index,rx,raw,ball,target,vel,cmd,rod,lost,run,raw_text
2026-08-01 06:02:36.226265,0.000,1,2019.000,-193.000,109.000,0.000,15.000,42.000,42.000,0.000,1.000,"2019,-193,109,0,15,42,42,0,1"
2026-08-01 06:02:36.328769,0.102,2,2037.000,-169.000,137.000,0.000,14.000,66.000,66.000,0.000,1.000,"2037,-169,137,0,14,66,66,0,1"
2026-08-01 06:02:36.431101,0.205,3,2055.000,-109.000,178.000,0.000,17.000,80.000,80.000,0.000,1.000,"2055,-109,178,0,17,80,80,0,1"
2026-08-01 06:02:36.533506,0.307,4,2070.000,-73.000,218.000,0.000,18.000,80.000,80.000,0.000,1.000,"2070,-73,218,0,18,80,80,0,1"
2026-08-01 06:02:36.636247,0.410,5,2085.000,-37.000,259.000,0.000,19.000,80.000,80.000,0.000,1.000,"2085,-37,259,0,19,80,80,0,1"
2026-08-01 06:02:36.740153,0.514,6,2100.000,-13.000,293.000,0.000,18.000,80.000,80.000,0.000,1.000,"2100,-13,293,0,18,80,80,0,1"
2026-08-01 06:02:36.841774,0.616,7,2112.000,24.000,326.000,0.000,17.000,80.000,80.000,0.000,1.000,"2112,24,326,0,17,80,80,0,1"
2026-08-01 06:02:36.945622,0.719,8,2124.000,48.000,356.000,0.000,16.000,80.000,80.000,0.000,1.000,"2124,48,356,0,16,80,80,0,1"
2026-08-01 06:02:37.047107,0.821,9,2136.000,72.000,377.000,0.000,13.000,80.000,80.000,0.000,1.000,"2136,72,377,0,13,80,80,0,1"
2026-08-01 06:02:37.149918,0.924,10,2148.000,96.000,400.000,0.000,13.000,80.000,80.000,0.000,1.000,"2148,96,400,0,13,80,80,0,1"
2026-08-01 06:02:37.252699,1.026,11,2162.000,108.000,420.000,0.000,11.000,80.000,80.000,0.000,1.000,"2162,108,420,0,11,80,80,0,1"
2026-08-01 06:02:37.355403,1.129,12,2175.000,96.000,426.000,0.000,7.000,80.000,80.000,0.000,1.000,"2175,96,426,0,7,80,80,0,1"
2026-08-01 06:02:37.458471,1.232,13,2187.000,96.000,426.000,0.000,4.000,80.000,80.000,0.000,1.000,"2187,96,426,0,4,80,80,0,1"
2026-08-01 06:02:37.561057,1.335,14,2199.000,96.000,424.000,0.000,2.000,80.000,80.000,0.000,1.000,"2199,96,424,0,2,80,80,0,1"
2026-08-01 06:02:37.664260,1.438,15,2211.000,84.000,421.000,0.000,0.000,80.000,80.000,0.000,1.000,"2211,84,421,0,0,80,80,0,1"
2026-08-01 06:02:37.766191,1.540,16,2223.000,72.000,410.000,0.000,-2.000,80.000,80.000,0.000,1.000,"2223,72,410,0,-2,80,80,0,1"
2026-08-01 06:02:37.870335,1.644,17,2235.000,72.000,406.000,0.000,-2.000,80.000,80.000,0.000,1.000,"2235,72,406,0,-2,80,80,0,1"
2026-08-01 06:02:37.972403,1.746,18,2247.000,72.000,404.000,0.000,-1.000,80.000,80.000,0.000,1.000,"2247,72,404,0,-1,80,80,0,1"
2026-08-01 06:02:38.074439,1.848,19,2259.000,72.000,400.000,0.000,-1.000,80.000,80.000,0.000,1.000,"2259,72,400,0,-1,80,80,0,1"
2026-08-01 06:02:38.177758,1.951,20,2271.000,72.000,399.000,0.000,0.000,80.000,80.000,0.000,1.000,"2271,72,399,0,0,80,80,0,1"
2026-08-01 06:02:38.279717,2.053,21,2283.000,60.000,394.000,0.000,-1.000,80.000,80.000,0.000,1.000,"2283,60,394,0,-1,80,80,0,1"
2026-08-01 06:02:38.382542,2.156,22,2295.000,60.000,396.000,0.000,0.000,80.000,80.000,0.000,1.000,"2295,60,396,0,0,80,80,0,1"
2026-08-01 06:02:38.484929,2.259,23,2304.000,60.000,393.000,0.000,0.000,80.000,80.000,0.000,1.000,"2304,60,393,0,0,80,80,0,1"
2026-08-01 06:02:38.588993,2.363,24,2315.000,60.000,389.000,0.000,-1.000,80.000,80.000,0.000,1.000,"2315,60,389,0,-1,80,80,0,1"
