timestamp,time_s,line_index,rx,raw,ball,target,vel,cmd,rod,lost,run,raw_text
2026-08-01 05:47:57.094427,0.000,1,9379.000,783.000,12.000,0.000,102.000,-180.000,-180.000,0.000,1.000,"9379,783,12,0,102,-180,-180,0,1"
2026-08-01 05:47:57.198081,0.104,2,9394.000,831.000,175.000,0.000,93.000,-139.000,-139.000,0.000,1.000,"9394,831,175,0,93,-139,-139,0,1"
2026-08-01 05:47:57.302944,0.209,3,9410.000,1012.000,348.000,0.000,89.000,8.000,-49.000,0.000,1.000,"9410,1012,348,0,89,8,-49,0,1"
2026-08-01 05:48:02.024925,4.930,4,719.000,301.000,313.000,0.000,78.000,15.000,15.000,0.000,1.000,"719,301,313,0,78,15,15,0,1"
2026-08-01 05:48:02.127065,5.033,5,732.000,325.000,661.000,0.000,118.000,175.000,105.000,0.000,1.000,"732,325,661,0,118,175,105,0,1"
2026-08-01 05:48:02.231214,5.137,6,747.000,373.000,836.000,0.000,103.000,180.000,180.000,0.000,1.000,"747,373,836,0,103,180,180,0,1"
2026-08-01 05:48:02.334689,5.240,7,762.000,385.000,919.000,0.000,76.000,180.000,180.000,0.000,1.000,"762,385,919,0,76,180,180,0,1"
2026-08-01 05:48:02.437359,5.343,8,777.000,397.000,962.000,0.000,51.000,180.000,180.000,0.000,1.000,"777,397,962,0,51,180,180,0,1"
2026-08-01 05:48:02.539870,5.445,9,792.000,397.000,982.000,0.000,33.000,180.000,180.000,0.000,1.000,"792,397,982,0,33,180,180,0,1"
2026-08-01 05:48:02.642548,5.548,10,807.000,397.000,985.000,0.000,19.000,180.000,180.000,0.000,1.000,"807,397,985,0,19,180,180,0,1"
2026-08-01 05:48:02.745832,5.651,11,822.000,385.000,983.000,0.000,10.000,180.000,180.000,0.000,1.000,"822,385,983,0,10,180,180,0,1"
2026-08-01 05:48:02.848105,5.754,12,837.000,337.000,959.000,0.000,0.000,180.000,180.000,0.000,1.000,"837,337,959,0,0,180,180,0,1"
2026-08-01 05:48:02.951138,5.857,13,852.000,289.000,921.000,0.000,-7.000,180.000,180.000,0.000,1.000,"852,289,921,0,-7,180,180,0,1"
2026-08-01 05:48:03.053809,5.959,14,867.000,228.000,871.000,0.000,-15.000,180.000,180.000,0.000,1.000,"867,228,871,0,-15,180,180,0,1"
2026-08-01 05:48:03.157914,6.063,15,882.000,144.000,800.000,0.000,-24.000,180.000,180.000,0.000,1.000,"882,144,800,0,-24,180,180,0,1"
2026-08-01 05:48:03.262352,6.168,16,895.000,72.000,729.000,0.000,-28.000,180.000,180.000,0.000,1.000,"895,72,729,0,-28,180,180,0,1"
2026-08-01 05:48:03.364877,6.270,17,908.000,-13.000,647.000,0.000,-33.000,180.000,180.000,0.000,1.000,"908,-13,647,0,-33,180,180,0,1"
2026-08-01 05:48:03.467752,6.373,18,924.000,-109.000,560.000,0.000,-37.000,180.000,180.000,0.000,1.000,"924,-109,560,0,-37,180,180,0,1"
2026-08-01 05:48:03.571473,6.477,19,942.000,-218.000,460.000,0.000,-42.000,180.000,180.000,0.000,1.000,"942,-218,460,0,-42,180,180,0,1"
2026-08-01 05:48:03.675803,6.581,20,960.000,-338.000,354.000,0.000,-47.000,180.000,180.000,0.000,1.000,"960,-338,354,0,-47,180,180,0,1"
2026-08-01 05:48:03.779689,6.685,21,978.000,-434.000,248.000,0.000,-49.000,180.000,180.000,0.000,1.000,"978,-434,248,0,-49,180,180,0,1"
2026-08-01 05:48:03.882629,6.788,22,996.000,-555.000,139.000,0.000,-51.000,180.000,180.000,0.000,1.000,"996,-555,139,0,-51,180,180,0,1"
2026-08-01 05:48:03.986625,6.892,23,1014.000,-651.000,38.000,0.000,-51.000,180.000,180.000,0.000,1.000,"1014,-651,38,0,-51,180,180,0,1"
2026-08-01 05:48:04.088830,6.994,24,1032.000,-748.000,-63.000,0.000,-50.000,101.000,101.000,0.000,1.000,"1032,-748,-63,0,-50,101,101,0,1"
2026-08-01 05:48:04.194334,7.100,25,1050.000,-820.000,-150.000,0.000,-47.000,21.000,21.000,0.000,1.000,"1050,-820,-150,0,-47,21,21,0,1"
2026-08-01 05:48:04.297517,7.203,26,1068.000,-893.000,-229.000,0.000,-43.000,-52.000,-52.000,0.000,1.000,"1068,-893,-229,0,-43,-52,-52,0,1"
2026-08-01 05:48:04.401075,7.307,27,1086.000,-989.000,-307.000,0.000,-42.000,-119.000,-119.000,0.000,1.000,"1086,-989,-307,0,-42,-119,-119,0,1"
2026-08-01 05:48:04.505358,7.411,28,1107.000,-1037.000,-379.000,0.000,-39.000,-180.000,-180.000,0.000,1.000,"1107,-1037,-379,0,-39,-180,-180,0,1"
2026-08-01 05:48:04.608597,7.514,29,1128.000,-1025.000,-410.000,0.000,-28.000,-180.000,-180.000,0.000,1.000,"1128,-1025,-410,0,-28,-180,-180,0,1"
2026-08-01 05:48:04.712306,7.618,30,1149.000,-1025.000,-421.000,0.000,-18.000,-180.000,-180.000,0.000,1.000,"1149,-1025,-421,0,-18,-180,-180,0,1"
2026-08-01 05:48:04.815994,7.722,31,1170.000,-1049.000,-434.000,0.000,-13.000,-180.000,-180.000,0.000,1.000,"1170,-1049,-434,0,-13,-180,-180,0,1"
2026-08-01 05:48:04.919391,7.825,32,1190.000,-989.000,-421.000,0.000,-4.000,-180.000,-180.000,0.000,1.000,"1190,-989,-421,0,-4,-180,-180,0,1"
2026-08-01 05:48:05.023140,7.929,33,1208.000,-917.000,-374.000,0.000,8.000,-180.000,-180.000,0.000,1.000,"1208,-917,-374,0,8,-180,-180,0,1"
2026-08-01 05:48:05.126978,8.033,34,1226.000,-820.000,-304.000,0.000,20.000,-180.000,-180.000,0.000,1.000,"1226,-820,-304,0,20,-180,-180,0,1"
2026-08-01 05:48:05.230867,8.136,35,1244.000,-700.000,-207.000,0.000,33.000,-180.000,-180.000,0.000,1.000,"1244,-700,-207,0,33,-180,-180,0,1"
2026-08-01 05:48:05.334299,8.240,36,1262.000,-555.000,-85.000,0.000,45.000,-180.000,-180.000,0.000,1.000,"1262,-555,-85,0,45,-180,-180,0,1"
2026-08-01 05:48:05.437381,8.343,37,1280.000,-386.000,62.000,0.000,58.000,-125.000,-125.000,0.000,1.000,"1280,-386,62,0,58,-125,-125,0,1"
2026-08-01 05:48:05.542105,8.448,38,1298.000,-218.000,217.000,0.000,67.000,-27.000,-35.000,0.000,1.000,"1298,-218,217,0,67,-27,-35,0,1"
2026-08-01 05:48:05.646269,8.552,39,1314.000,-37.000,387.000,0.000,75.000,83.000,55.000,0.000,1.000,"1314,-37,387,0,75,83,55,0,1"
2026-08-01 05:48:05.748939,8.655,40,1327.000,168.000,572.000,0.000,83.000,180.000,145.000,0.000,1.000,"1327,168,572,0,83,180,145,0,1"
2026-08-01 05:48:05.852534,8.758,41,1342.000,361.000,761.000,0.000,89.000,180.000,180.000,0.000,1.000,"1342,361,761,0,89,180,180,0,1"
2026-08-01 05:48:05.955931,8.861,42,1357.000,518.000,940.000,0.000,89.000,180.000,180.000,0.000,1.000,"1357,518,940,0,89,180,180,0,1"
2026-08-01 05:48:06.059784,8.965,43,1372.000,674.000,1108.000,0.000,87.000,180.000,180.000,0.000,1.000,"1372,674,1108,0,87,180,180,0,1"
2026-08-01 05:48:06.163468,9.069,44,1387.000,807.000,1256.000,0.000,81.000,180.000,180.000,0.000,1.000,"1387,807,1256,0,81,180,180,0,1"
2026-08-01 05:48:06.267185,9.173,45,1402.000,891.000,1384.000,0.000,73.000,180.000,180.000,0.000,1.000,"1402,891,1384,0,73,180,180,0,1"
2026-08-01 05:48:06.370800,9.276,46,1417.000,952.000,1464.000,0.000,59.000,180.000,180.000,0.000,1.000,"1417,952,1464,0,59,180,180,0,1"
2026-08-01 05:48:06.475290,9.381,47,1432.000,964.000,1519.000,0.000,44.000,180.000,180.000,0.000,1.000,"1432,964,1519,0,44,180,180,0,1"
2026-08-01 05:48:06.577312,9.483,48,1450.000,1012.000,1568.000,0.000,35.000,180.000,180.000,0.000,1.000,"1450,1012,1568,0,35,180,180,0,1"
2026-08-01 05:48:06.682467,9.588,49,1467.000,964.000,1574.000,0.000,20.000,180.000,180.000,0.000,1.000,"1467,964,1574,0,20,180,180,0,1"
2026-08-01 05:48:06.785608,9.691,50,1482.000,952.000,1561.000,0.000,8.000,180.000,180.000,0.000,1.000,"1482,952,1561,0,8,180,180,0,1"
2026-08-01 05:48:06.889963,9.796,51,1497.000,891.000,1527.000,0.000,-2.000,180.000,180.000,0.000,1.000,"1497,891,1527,0,-2,180,180,0,1"
2026-08-01 05:48:06.992443,9.898,52,1512.000,807.000,1469.000,0.000,-14.000,180.000,180.000,0.000,1.000,"1512,807,1469,0,-14,180,180,0,1"
2026-08-01 05:48:07.096124,10.002,53,1527.000,687.000,1380.000,0.000,-28.000,180.000,180.000,0.000,1.000,"1527,687,1380,0,-28,180,180,0,1"
2026-08-01 05:48:07.200142,10.106,54,1542.000,554.000,1269.000,0.000,-40.000,180.000,180.000,0.000,1.000,"1542,554,1269,0,-40,180,180,0,1"
